记录数,地区,pop,year
1,北京市,1601,2006年
1,天津市,1075,2006年
1,河北省,6898,2006年
1,山西省,3375,2006年
1,内蒙古自治区,2415,2006年
1,辽宁省,4271,2006年
1,吉林省,2723,2006年
1,黑龙江省,3823,2006年
1,上海市,1964,2006年
1,江苏省,7656,2006年
1,浙江省,5072,2006年
1,安徽省,6110,2006年
1,福建省,3585,2006年
1,江西省,4339,2006年
1,山东省,9309,2006年
1,河南省,9392,2006年
1,湖北省,5693,2006年
1,湖南省,6342,2006年
1,广东省,9442,2006年
1,广西壮族自治区,4719,2006年
1,海南省,836,2006年
1,重庆市,2808,2006年
1,四川省,8169,2006年
1,贵州省,3690,2006年
1,云南省,4483,2006年
1,西藏自治区,285,2006年
1,陕西省,3699,2006年
1,甘肃省,2547,2006年
1,青海省,548,2006年
1,宁夏回族自治区,604,2006年
1,新疆维吾尔自治区,2050,2006年
1,北京市,1676,2007年
1,天津市,1115,2007年
1,河北省,6943,2007年
1,山西省,3393,2007年
1,内蒙古自治区,2429,2007年
1,辽宁省,4298,2007年
1,吉林省,2730,2007年
1,黑龙江省,3824,2007年
1,上海市,2064,2007年
1,江苏省,7723,2007年
1,浙江省,5155,2007年
1,安徽省,6118,2007年
1,福建省,3612,2007年
1,江西省,4368,2007年
1,山东省,9367,2007年
1,河南省,9360,2007年
1,湖北省,5699,2007年
1,湖南省,6355,2007年
1,广东省,9660,2007年
1,广西壮族自治区,4768,2007年
1,海南省,845,2007年
1,重庆市,2816,2007年
1,四川省,8127,2007年
1,贵州省,3632,2007年
1,云南省,4514,2007年
1,西藏自治区,289,2007年
1,陕西省,3708,2007年
1,甘肃省,2548,2007年
1,青海省,552,2007年
1,宁夏回族自治区,610,2007年
1,新疆维吾尔自治区,2095,2007年
1,北京市,1771,2008年
1,天津市,1176,2008年
1,河北省,6989,2008年
1,山西省,3411,2008年
1,内蒙古自治区,2444,2008年
1,辽宁省,4315,2008年
1,吉林省,2734,2008年
1,黑龙江省,3825,2008年
1,上海市,2141,2008年
1,江苏省,7762,2008年
1,浙江省,5212,2008年
1,安徽省,6135,2008年
1,福建省,3639,2008年
1,江西省,4400,2008年
1,山东省,9417,2008年
1,河南省,9429,2008年
1,湖北省,5711,2008年
1,湖南省,6380,2008年
1,广东省,9893,2008年
1,广西壮族自治区,4816,2008年
1,海南省,854,2008年
1,重庆市,2839,2008年
1,四川省,8138,2008年
1,贵州省,3596,2008年
1,云南省,4543,2008年
1,西藏自治区,292,2008年
1,陕西省,3718,2008年
1,甘肃省,2551,2008年
1,青海省,554,2008年
1,宁夏回族自治区,618,2008年
1,新疆维吾尔自治区,2131,2008年
1,北京市,1860,2009年
1,天津市,1228,2009年
1,河北省,7034,2009年
1,山西省,3427,2009年
1,内蒙古自治区,2458,2009年
1,辽宁省,4341,2009年
1,吉林省,2740,2009年
1,黑龙江省,3826,2009年
1,上海市,2210,2009年
1,江苏省,7810,2009年
1,浙江省,5276,2009年
1,安徽省,6131,2009年
1,福建省,3666,2009年
1,江西省,4432,2009年
1,山东省,9470,2009年
1,河南省,9487,2009年
1,湖北省,5720,2009年
1,湖南省,6406,2009年
1,广东省,10130,2009年
1,广西壮族自治区,4856,2009年
1,海南省,864,2009年
1,重庆市,2859,2009年
1,四川省,8185,2009年
1,贵州省,3537,2009年
1,云南省,4571,2009年
1,西藏自治区,296,2009年
1,陕西省,3727,2009年
1,甘肃省,2555,2009年
1,青海省,557,2009年
1,宁夏回族自治区,625,2009年
1,新疆维吾尔自治区,2159,2009年
1,北京市,1962,2010年
